Id,Label
1458363566344400897,jumadi_jumjum
23786106,kompasiana
1083748942150422533,RZelda_
287507376,MirantiCintada
1570802238305583104,SanaQue11886405
1123072034085326848,kazeeid
1123072034085326848,kazeeid
1123072034085326848,kazeeid
1174287141909590017,seruanhl
287507376,MirantiCintada
287507376,MirantiCintada
773484137319497728,_sompret_
1568659812472475651,mianade20633221
2355753818,adrian_mangaha
759692754985242625,kumparan
1252859246628110336,jaemin_nuna
1252859246628110336,jaemin_nuna
1233559971532423168,guisejae
1233559971532423168,guisejae
985103627663564801,akuncanggih
1579801319061061632,cil_logs
1570794972688834561,NimraQu12946291
847372542830444544,cnbcindonesia
742024154644381696,terbucinz
1113965550386860033,FernaldyRizky11
435004096,Aryprasetyo85
1416246557511274497,langit7id
4755284968,idx_channel
82550378,HILARlO
1546093524193792000,titoarya258
1374628267815096322,Greytajir
1450729981747761154,healingjourne18
1579801319061061632,cil_logs
1206016618481864705,selfmirror_
97139562,twatwamasi
1371652293490176001,dariP_17
1371652293490176001,dariP_17
1371652293490176001,dariP_17
1083627110986539009,Cikipuanjing
1206016618481864705,selfmirror_
45547851,marcus_elgaol
1213694814220251136,abcdiniuuuu
1087464311419658240,BalqisLailia
3223035314,okijogjezz
1348286597645537280,bukan_main_
3223035314,okijogjezz
1348286597645537280,bukan_main_
3223035314,okijogjezz
1402973793241362439,Juragantajirrr
1402973793241362439,Juragantajirrr
1260531598383972352,winsandiii
1260531598383972352,winsandiii
1438332259,RomarioDM_
23786106,kompasiana
3223035314,okijogjezz
4362007885,elfani_dwi
276424408,eelezha
126638710,annisarhmy
1025511860,jopang_
1314840619378896896,karirfess
18129942,tempodotco
231634421,prxipoideus
1287690023668551680,ArtOfpol
621610933,caramelmmchto
153608362,Puthutea
31058944,FahmiAgustian
1079052462,fadil_alfitra
957593832,miaameliaartha
409782962,Edmoonn
1491605384687394818,fbrwhy
330143224,pundottt
1247548489623416832,eichichizu
1144489453475360769,EgaTampo
620582869,AdiUtomoPutro
178995555,yazidkhaidir
84867378,sambudi_99
1329190524897558530,royyana1304971
1146354744941637632,ditobatman
1077299603052015616,pruciaa
1249352392954368001,denni_sauya
1249352392954368001,denni_sauya
39933002,officialnova_id
23343960,kompascom
1046700741518274560,akalimylove
1302076144498294784,blacksesame21
91309028,Finishars
837456508816220160,taehyungsambat
1446244304788221952,everything6oods
3454202474,diverxent
356168545,christinayutyas
521294571,dyanas2008
378996619,SatrioGrahandi
2355332558,Mira_SasMiita
2355332558,Mira_SasMiita
2355332558,Mira_SasMiita
1419249105843355649,notyourssobye
1336580251493646343,Saham_fess
25065219,glennmars
1258320097807970306,BujangRimba7
254401911,deborakezia
1196269150793957377,iniintankok
93098084,nadiacho95
1408003195209617411,lovelymayonaise
1387877274578345984,Berrynoonaz
1330791552583548932,bisnisindo_id
1190104942993784833,Tiraijingga
1325448613305085960,al_lasan
1281527829419552768,Indrakrnwan
1080414919734878209,Lowkeyeverygirl
203939426,adeeeek
1322957350982987776,BroDitttt
3247511622,rizaldyzl
1207638551157858304,p3juangNKRI
1213501659805933568,nagnaggg
1225020585584951297,Malubangetnjirr
1314840619378896896,karirfess
1297914939856707585,naathnnnn
1231218379526000640,izzywb
1580223556784246784,adri_djoha
1003663023616094208,fuckrudinss_
1669301850,CakaDenny
56241205,sitorusRICKY
56241205,sitorusRICKY
65314853,axma_
2796686850,bossketjil
1281303273400459264,prsonaltrouble
1287243295530205186,JJJamesonn_
1083603889457311744,KeluargaDadan
1509820769647611910,DPOPolisiOnline
1558998285234601984,strwbrry_cgrts
326453024,Aprilia_wiji
599764687,YoyoxNugroho
1379546070783430661,DM_N4BYL
23343960,kompascom
1379546070783430661,DM_N4BYL
1379546070783430661,DM_N4BYL
1379546070783430661,DM_N4BYL
188438662,KompasEkonomi
326453024,Aprilia_wiji
326453024,Aprilia_wiji
1379546070783430661,DM_N4BYL
1379546070783430661,DM_N4BYL
615322357,TitaniaAyuKinan
1655061218,pikiranaji
1350779748591431682,D_N4bil5
1379546070783430661,DM_N4BYL
326453024,Aprilia_wiji
398585748,manisekaIi
98509895,Phie_2710
1342804955304873985,misshani96
492794380,Arvytasriswo
940769371097460736,jackiechru
1260531598383972352,winsandiii
1353918148739698688,Cahaya_CintaNda
143417065,bawono_rizki
89881674,mikhailrenaldo
1310491734086877184,riyadisugeng167
1295037078120538114,Virdhansyah1
1252859246628110336,jaemin_nuna
1233559971532423168,guisejae
409690340,Dean_Ardiansyah
1233559971532423168,guisejae
1198189024625623040,muhammadhilmyf_
69268548,haqitaazlif
1284061445148209154,convomfs
1150033278847447040,Suborinn
1410205084672167942,caroouse
1487220594051452933,luna_w053
1200411746642513920,acqermoon
1513366084111728646,qerjaqeras
271474999,ricekak
119807905,fajrulmunif
434885118,andikacost
158650537,TripleYoungie
181423201,palupihg
1416246557511274497,langit7id
562584847,candiaaz
277391539,Jerryckckck
17128975,CNNIndonesia
88386871,ihsanprogs
708519190995447808,teamunae
1199504550127734784,ribel_n
1411270437342879744,liliesovalley
